INDICATOR,PANEL,PANEL_NUM,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,FLAG
Drug overdose death rates,All drug overdose deaths,-0.005994596919121459,"Deaths per 100,000 resident population, age-adjusted",1.0162834525775994,Total,-0.00010474601144397384,All persons,0.09908882161069218,1999.0069298341489,1.0157437744946345,All ages,1.1034885143734348,6.0898790530987,
Drug overdose death rates,All drug overdose deaths,0.0032665134990899464,"Deaths per 100,000 resident population, age-adjusted",0.9942584934777285,Total,-0.006893956161217981,All persons,0.09622675649087879,1999.99246139738,2.0019059359740536,All ages,1.0941468354562491,6.195081406943087,
Drug overdose death rates,All drug overdose deaths,0.01160957481406922,"Deaths per 100,000 resident population, age-adjusted",0.9931171563064977,Total,0.023226920216413666,All persons,0.11350408424902592,2000.9918923047358,2.990711380913055,All ages,1.1031670499661903,6.805149354963251,
Drug overdose death rates,All drug overdose deaths,0.00908030092715568,"Deaths per 100,000 resident population, age-adjusted",0.9892999295545173,Total,-0.0016898126352517726,All persons,0.10130568827011704,2001.9915105712134,4.0053271424695165,All ages,1.1225612088026553,8.214406457334578,
Drug overdose death rates,All drug overdose deaths,0.005267614090804471,"Deaths per 100,000 resident population, age-adjusted",1.0066614329653305,Total,-0.01921812955738493,All persons,0.10755149533311245,2003.0163072567066,4.992964131900126,All ages,1.1153625500548254,8.90352688395518,
Drug overdose death rates,All drug overdose deaths,0.011114704324036842,"Deaths per 100,000 resident population, age-adjusted",0.9932654545598505,Total,0.001189331762973133,All persons,0.11099664733394041,2003.9945850946592,5.985955151469943,All ages,1.0916477534068931,9.40806915641793,
Drug overdose death rates,All drug overdose deaths,-0.004536010147216541,"Deaths per 100,000 resident population, age-adjusted",0.9785025053485201,Total,0.000941513697657862,All persons,0.09554646933014373,2004.994662202219,6.975076584310996,All ages,1.0957881536207925,10.107797212429354,
Drug overdose death rates,All drug overdose deaths,-0.009085363956343481,"Deaths per 100,000 resident population, age-adjusted",0.9966616151106145,Total,0.0016665942844770313,All persons,0.10333807924839264,2006.000138794503,7.97840633953791,All ages,1.0934659085191578,11.499393102256736,
Drug overdose death rates,All drug overdose deaths,-0.012229920174819392,"Deaths per 100,000 resident population, age-adjusted",1.0173479295145198,Total,0.0014123572789844375,All persons,0.09698341657689025,2007.0070147359215,9.001052223972389,All ages,1.1100971505271906,11.901421368265757,
Drug overdose death rates,All drug overdose deaths,-0.012842866876805461,"Deaths per 100,000 resident population, age-adjusted",1.0188029191324193,Total,-0.012494404642417885,All persons,0.08551857905543049,2007.9982274068195,10.004487328426405,All ages,1.107674523003246,11.90465167587303,
Drug overdose death rates,All drug overdose deaths,-0.005462646549752411,"Deaths per 100,000 resident population, age-adjusted",1.0016615326700187,Total,0.017770632608265908,All persons,0.10669247466338258,2009.0072581729396,10.983285601666038,All ages,1.1043709805497708,11.88604254877009,
Drug overdose death rates,All drug overdose deaths,-0.009170434771293982,"Deaths per 100,000 resident population, age-adjusted",1.0107070521626127,Total,-0.0047881179791272295,All persons,0.1077536839156969,2009.9961661614557,12.003583958498902,All ages,1.0960664639423896,12.298981388010505,
Drug overdose death rates,All drug overdose deaths,0.002868683091336967,"Deaths per 100,000 resident population, age-adjusted",1.0005969548585234,Total,0.015463784757844242,All persons,0.10878887642994294,2010.9852998517965,12.985641793379301,All ages,1.0964862293501123,13.196589705368524,
Drug overdose death rates,All drug overdose deaths,0.005869006464300885,"Deaths per 100,000 resident population, age-adjusted",1.0075608079115737,Total,-0.004041171943668902,All persons,0.09926200819717249,2011.981762492172,14.006489103554767,All ages,1.1160854587086566,13.085391151906508,
Drug overdose death rates,All drug overdose deaths,-0.014226026471497835,"Deaths per 100,000 resident population, age-adjusted",0.9908284695271469,Total,-0.0029970504370202627,All persons,0.12015878720450933,2013.0045616110865,14.990748858461226,All ages,1.1042230818981702,13.78769267460016,
Drug overdose death rates,All drug overdose deaths,0.013207638890757325,"Deaths per 100,000 resident population, age-adjusted",1.000761900887102,Total,-0.0018224949349502334,All persons,0.1060232886219427,2014.0061403848542,15.993244439067698,All ages,1.1001726783905736,14.697785267077464,
Drug overdose death rates,All drug overdose deaths,-0.011987977672011547,"Deaths per 100,000 resident population, age-adjusted",1.0012325114091367,Total,0.0060762672128165385,All persons,0.09658392914057672,2015.0051282089028,17.002740518130814,All ages,1.0961427028394903,16.297586312280966,
Drug overdose death rates,All drug overdose deaths,-0.0026016822388804078,"Deaths per 100,000 resident population, age-adjusted",1.0179632078216305,Total,0.012043341667833121,All persons,0.11294517559764347,2016.0069753286273,17.98968673618411,All ages,1.113423818538649,19.80063733319696,
Drug overdose death rates,All drug overdose deaths,-0.010258270537677548,"Deaths per 100,000 resident population, age-adjusted",1.0075229509216108,Total,0.0009324811706107614,All persons,0.08676597732034821,2016.9984236742425,19.003439538483455,All ages,1.106662614781877,21.69683155007253,
Drug overdose death rates,All drug overdose deaths,0.014766503353939187,"Deaths per 100,000 resident population, age-adjusted",1.00222802483034,Sex,1.9997297216207415,Male,2.0985072650145096,1998.999163510785,1.0063356628019098,All ages,1.0904850900673992,8.184973390286316,
